id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Shadow Ledger,Trap Cartel,hip-hop,tense,0.66,92,0.34,0.76,0.09
12,Moonlit Vow,Elena Voss,classical,romantic,0.24,66,0.74,0.19,0.95
13,Iron Verdict,Skullforge,metal,aggressive,0.96,172,0.22,0.44,0.03
14,Island Memories,Solar Roots,reggae,nostalgic,0.54,84,0.69,0.73,0.44
15,Dust Road Home,Wyatt Cole,country,nostalgic,0.47,98,0.58,0.54,0.67
16,Skyline Pulse,Kinetic Bloom,EDM,euphoric,0.92,128,0.87,0.91,0.03
17,Velvet Haze,Nova Sinclair,R&B,dreamy,0.37,70,0.56,0.55,0.36
18,Autumn Letters,Willow & Bone,folk,melancholy,0.21,76,0.27,0.24,0.89
